Sue Hatfield for CT Attorney General	128000	327989	800	3189
Ned Lamont	102000	498979	1667	6825
Monica Tujak Brill for Connecticut State Senate	51000	104998	100	598
Bob Stefanowski	21000	105996	200	1196
Matthew Corey for U.S. Senate	20000	99998	193	1029
Elizabeth Esty	18998	79985	176	1372
Marc D'Amelio for State Senate	11000	55997	100	697
Phil Young for State Representative	11000	54998	100	598
Senator Kevin Witkos	10000	49999	100	499
Michael McLachlan for State Senate	10000	49999	100	499
Julie Kushner for State Senate	10000	49999	0	265
Jill Barry for Connecticut-31st	10000	49999	100	499
Glastonbury Democratic Town Committee	10000	49999	100	499
Connecticut Fund for the Environment	10000	49999	100	499
Northeast Charter Schools Network	5000	9999	0	99
Solar Energy Today	4000	23992	61	433
Martha Marx For CT State Senate, District 20	4000	22993	0	693
Beth Bye 2018	3000	28983	0	1683
Christine Cohen for State Senate	3000	20991	0	891
Make Comedy Great Again	2001	10003	22	208
Hugh McKenney - Candidate For State Representative, East Lyme & Salem	2000	10997	100	697
Will Haskell for CT	2000	9998	0	198
Tony Gennaro for State Representative 100th District	1000	5998	0	198
Theresa Ranciato-Viele for State Representative	1000	5998	0	198
Thad Gray	1000	4999	0	99
Ross Tartell for CT State Representative, 125th District	1000	4999	0	99
Politica CT	1000	4999	0	212
Mike for 72nd	1000	4999	0	99
Melissa Osborne for Senate	1000	4999	100	499
Laura Devlin for State Representative	1000	4999	0	99
Fairfield Democrats	1000	4999	0	99
Enfield Republican Town Committee	1000	4999	0	99
Dan Fontaine	1000	4999	0	99
Dan Champagne for State Senate	1000	4999	0	99
CTLCV - Connecticut League of Conservation Voters	1000	4999	0	99
Alex Bergstein for CT State Senate	1000	4999	0	99
Steve Stafstrom for State Rep	999	4996	0	98
Connie For State Representative	999	4992	0	98
SECoast	996	4977	0	164
Scott Frantz for State Senate	790	3950	0	78
Concealed Online	596	1641	6	38
Jay Gonzalez	489	2439	2	28
etee	435	869	0	4
Corazon Coqui	383	766	275	388
Donald J. Trump	338	6951	4	328
Bill Nelson	327	1415	6	47
Teamsters Joint Council 10	261	1307	0	25
Stand with Susan Collins	158	789	0	3
ACLU	130	650	1	13
Steve Phillips	104	519	1	5
Parks Project	101	504	0	1
Democratic Senatorial Campaign Committee (DSCC)	99	329	0	5
End Citizens United	87	200	1	6
Pela Case	77	155	0	2
Nine Line Apparel	76	169	0	1
Population Connection	69	139	2	3
Speak Up For Education and Kids	59	293	0	2
MJ for Texas	56	112	1	2
Anna Caballero for Senate	51	254	0	1
Independent Voter	50	100	0	1
National Republican Congressional Committee	48	1142	0	33
PathWater	47	234	0	2
Heifer International	46	1730	3	125
Beto O'Rourke	45	229	0	5
Flip It Blue	44	88	0	1
Sand Cloud	43	215	0	2
Allison Gilman For Judge	40	201	0	1
Greenpeace USA	38	294	0	15
Karen Hagstrom for Dutchess County Family Court Judge	32	158	0	3
Exclusive Apparel	30	224	0	13
David Chiu	28	140	0	1
Heidi Heitkamp	28	139	0	6
Indivisible Guide	27	145	0	2
Planned Parenthood	26	83	0	0
DD Adams for Congress	25	83	0	1
Kyrsten Sinema	24	1160	0	56
Kirsten Gillibrand	22	112	0	3
Patricia Morgan	21	105	0	2
Progress NC Votes	20	102	0	0
Melinda Avey	20	40	0	1
Jena Griswold for Colorado	17	90	0	1
PrintedKicks	16	97	0	2
Jim McGovern	16	72	0	0
American AF	15	77	0	0
Equality Florida Action PAC	15	30	0	0
Planned Parenthood Action	14	68	0	2
Military Officers Association of America (MOAA)	13	65	0	1
Joe Radinovich	13	65	0	1
Future Now USA	13	64	0	5
Cheddar	13	63	0	0
Science for Humans and Freedom Institute	12	107	0	5
VoteTogether	11	56	0	0
The Collective PAC	11	54	0	2
CARE	11	53	0	2
Anne Stava-Murray for State Rep	10	52	0	1
Democratic Legislative Campaign Committee - DLCC	10	51	0	1
Online University of the Left	10	50	0	0
The Nib	10	48	0	0
Pfizer	8	61	0	3
NC House Republicans	8	40	0	0
