Voters - Not Politicians	6776957	0
Healthy and Productive Michigan	1954991	45491
Elissa Slotkin for Congress	1519983	29083
Michigan Republican Party	864978	18978
Living Free	649863	0
Everytown for Gun Safety	676119	0
The Fighting for Families Fund	537946	9346
NextGen America	271991	0
Cathy Albro	260993	2293
Michigan Families for Economic Prosperity	178991	0
Defending Main Street	199080	0
Tim Walberg	163648	0
Mary Treder Lang, Candidate for Michigan Secretary of State	99999	999
Ken Horn for Michigan State Senate	99999	999
MI Senate Republican Campaign Committee	93486	0
American Tort Reform Association	82928	0
America First Action	392758	0
Our Flag Our Country	199966	0
American Potential	164995	1695
Fight for $15	159996	2996
Macomb Families First	115990	2290
Color Of Change PAC	109996	0
Michigan League of Conservation Voters	65989	1089
Yes Ready by Five	92978	2978
Citizens Energizing Michigan's Economy	100997	0
Working America	64997	0
Julia Pulver, RN for Michigan Senate District 15	50991	1291
Planned Parenthood Advocates of Michigan	264977	0
Lisa Sinclair for Macomb County Clerk	30995	895
Paul Mitchell for Congress	54998	0
Jocelyn Benson	24997	0
Women For Civility	49999	0
W.K. Kellogg Foundation	49999	0
Sara Spencer-Noggle for Isabella County Probate Judge	49999	499
Lee Chatfield	49999	499
Color Of Change	49999	0
Alliance for Michigan Power	49971	2871
Tracie Tomak for District Judge	20996	396
Beto O'Rourke	14787	0
Levi's	13448	0
Gongwer News Service Michigan	13995	495
Weak Ends at Bernies	9999	99
Make Michigan Great Again	9999	99
Jon Bumstead	9999	99
Calhoun County Commissioner Jake W. Smith	9999	99
Brianna Scott for MSU	9999	99
Andrea Fischer Newman	9999	499
Ed McBroom for State Senate	10657	0
UP Defense Fund	15366	0
Kevin Daley for State Senate	21994	594
Vote Yes for PARC	20995	495
Niles Niemuth	20995	0
The #Wild4Whitmer Unofficial Street Team 2018	16995	495
Military Network	16992	0
Peter MacGregor for State Senate	14997	297
Michigan Capitol Confidential	14997	297
Kelly Breen for MI State Representative - District #38	14997	297
RSCC	5338	0
National Republican Congressional Committee	41201	0
