Mike DeWine	1940678	0
Steve Dettelbach	1178910	14210
Ohioans for Fair Maps	569981	13581
Shareblue Media	729983	0
Richard Cordray	482967	7667
Judge Lisa Allen	199999	999
Congressional Leadership Fund	264892	0
Living Free	150142	0
Republican Governors Association (RGA)	110997	0
AARP Ohio	99999	999
Galbraith for Congress	209994	0
The Matriots	94144	0
Jason Tolliver for Lawrence Co. Auditor	151987	2087
Michelle Snodgrass Commonwealth Attorney	65325	0
Energy Citizens	89204	0
Lindsay Webb for Lucas County Treasurer	105996	2196
Jason C. Stephens, Lawrence County Auditor	74996	796
Rachel Crooks for Ohio	101996	0
Donald J. Trump	125550	0
Ken Harbaugh for OH-7	74973	0
Franklin County Democratic Party	69996	796
Jeffrey A. Crossman For Ohio	64997	697
MoveOn	38528	0
Joe Helle for State Representative	59997	297
Military Network	26173	0
D.J. Byrnes for Ohio House District 80	58994	994
Our Flag Our Country	50103	0
Dave Yost	60789	0
Tom Patton for Ohio House	49999	499
Judge Steven Martin	49999	499
Dan Milleson for Ohio's 95th	49999	0
Dale Stalf for Judge	49999	0
Brian Baldridge	49999	499
Aftab Pureval	49999	0
Dan Foley for Ohio House of Representatives	22995	0
Darya Klammer for Court of Appeals	19998	198
Kenneth C. Henning	19997	297
David Thomas for County Auditor	20981	0
Casey Weinstein for State Rep	16996	0
Phil Robinson for Ohio	14998	598
Ryan Ferns - WV State Senate	28195	0
Elyria Issue 25	25994	594
Pat Condon For Judge	11997	697
Judge Lanzinger for Common Pleas Court	9999	99
Jim Trakas	9999	499
Elect Natalie Haupt for Judge	9999	99
County Cover-Up	9999	99
Committee to Re-Elect Judge Mary Kovack	9999	99
ACLU of Ohio	9999	499
Sara Bitter	9094	0
Vote For Lakeland	19996	396
ACLU	7713	0
Progress News Network	6222	0
ACES	21990	990
Working America	18993	0
Frank LaRose	17788	0
For Worthington Schools	15996	396
Everytown for Gun Safety	4197	0
Charlotte McGuire - State Board of Education Representative, District 3	12995	495
Vicki Donovan Lyle for State Board of Education	11996	396
Keep Judge Rezabek	10997	297
Vote For Five Rivers MetroParks	9998	198
State Representative Kyle Koehler	9998	198
Ryan Rebecca Taylor for Ohio	9998	0
Rootstown Citizens Levy Committee (RCLC)	9998	198
Ohio VOTES	9998	198
Media in the Public Interest	9998	198
Latta for Congress	9998	0
Kim McCarthy for State Rep - OH 73	9998	198
Janet Garrett for Congress	9998	0
Erik Yassenoff	9998	598
Cory Hoffman For State Rep	9998	0
League of Women Voters of the U.S.	8439	0
League of Conservation Voters	4296	0
American Tort Reform Association	6942	0
Re-elect Joshua Crabtree	7325	0
Beto O'Rourke	2766	0
Trevor Elkins	15988	1188
Vote NO on the Job-Killing Community Bill of Rights	14989	0
Cleveland School of Cannabis	10993	693
Oxfam	7996	0
Buddy for Wood County Auditor	6997	297
Zak Selvey for Judge	5998	198
Taylor Sappington for State Representative	5998	198
Magistrate Gerald Parker for Judge	5998	198
Harris for Ohio	5998	198
A. Ross Douglass For Judge	5998	198
Vote 2018 Ohio	4999	99
The Little Book of Revolution	4999	99
Susan Vaughn for State Representative	4999	99
Stu Harris	4999	499
State Representative David Leland	4999	99
Seth Evans for Clark County Commissioner	4999	99
Seneca Anti-Wind Union	4999	99
Re-Elect Freddie Hayes, Jr	4999	99
North Royalton Republican Club	4999	99
Keep Shane Tieman Scioto County Prosecutor	4999	99
Judge Jim Walther	4999	99
For Grandview Schools	4999	99
Elaine Barnett for Auditor	4999	99
ECOT Andy	4999	99
David Weiss For Shaker	4999	99
Cuyahoga County Democratic Party	4999	99
Bobby Mitchell for Ohio House of Representatives	4999	99
Barbara Moore for Adams County Court Judge	4999	99
Mercer County Democrats	4996	0
Jessica For Ohio	4984	0
Indivisible Ashtabula County, Moving Forward Together - Public	4841	0
Boyce - Judith Candidate for State Rep District 33	4430	0
Indivisible Guide	4404	0
Proud Right Winger	3037	0
Shannon C. Smith for Covington City Commission	3608	0
Jeff Richards for Ohio District 66	3399	0
Heidi Heitkamp	1772	0
Justin Fortner for Campbell County Commonwealth Attorney	2255	0
Circa	2064	0
Higher Heights for America	2003	0
The Atlas Society	1988	0
Concealed Online	2246	0
45th President Donald J. Trump	1793	0
Alliance Defending Freedom	1689	0
Ocean Conservancy	3378	0
Your Energy	484	0
WipeRecord - Criminal Expungement & Record Sealing Attorneys	1194	0
Angie Craig	1153	0
United States Constitution	440	0
Nine Line Apparel	465	0
Jay Inslee	369	0
VoteTogether	391	0
Color Of Change	270	0
Making Every Vote Count	593	0
Rugged Roots	515	0
Finance Watchdogs	600	0
End Citizens United	185	0
Independent Voter	447	0
Sand Cloud	483	0
Laurie Rushing for State Representative District 26	370	0
Criswell for Commonwealth Attorney	367	0
Tim Walberg	346	0
Democrats	341	0
Exclusive Apparel	573	0
National Republican Congressional Committee	17846	0
Planned Parenthood	312	0
Flip It Blue	257	0
Energy Nation	256	0
