Henry McMaster	1214983	28683
Concealed Online	352335	0
Ralph Norman for Congress	213800	0
American Tort Reform Association	149998	0
Katie Arrington	209994	2194
Lindsey Graham	69996	1196
Joseph Dunkle	39995	495
John Kraljevich for SC26	59779	0
Walt Wilkins for Solicitor	68988	0
Solar Rebate	29912	0
Trafalgar Group	49999	999
A Penny for Progress	19743	0
Tom Steyer	18633	0
4ocean	12345	0
Able South Carolina	9999	99
Tim Ridge For Ward 2 Hilton Head Island Town Council	19996	396
Tom Rice for Congress	14997	297
Progress News Network	5315	0
Heidi Heitkamp	6700	0
Retirement321	13992	0
Re-elect Janice Dabney - School Board District 5	11996	396
Personhood South Carolina	10997	297
Jody Gaulin for SC House District 2	10997	0
Lake and Main	9998	198
John J. McCann For Mayor of Hilton Head Island	9998	198
Energy Consumers of the Carolinas	9998	198
Democrats for Marchant	9998	198
Serve America	3841	0
Donald J. Trump	28461	0
Georgia Shift	8995	0
Kathy Maness for Lexington Town Council	6997	297
William Cogswell Jr.	5998	198
Joe Cunningham	5998	0
Curtis Loftis	5998	198
Socastee - SC68 Cameron Ventura	4999	99
Smith4Mayor	4999	99
JA Moore For SC District 15	4999	99
House of Pizza Clinton	4999	99
Charleston County Democrats	4999	99
Alan Wilson	4999	0
Joe Preston for SC House	4958	0
Independent Voter	2437	0
Dan Forest	3733	0
Tulsi Gabbard	2402	0
National Republican Congressional Committee	1558	0
New Georgia Project	457	0
Indivisible Guide	1149	0
Representative Nick Mattiello	1136	0
The Western Journal	1070	0
Nine Line Apparel	1021	0
League of Women Voters of the U.S.	1016	0
45 Hats	985	0
American AF	895	0
Exploiting America	886	0
Penzeys Spices	882	0
Bill O'Reilly	843	0
Population Connection	614	0
United States Constitution	755	0
Ben Shapiro	268	0
Capital Research Center	250	0
Dr. Bronner's	618	0
Swing Left	1141	0
Sand Cloud	278	0
Pfizer	299	0
Strong Women Society	216	0
VoteTogether	449	0
Finance Watchdogs	547	0
David Rouzer	565	0
Jay Inslee	398	0
Our Flag Our Country	195	0
Proud American Hunter	152	0
Kialo	183	0
Color Of Change	136	0
Turning Point USA	190	0
Flip It Blue	122	0
Progress NC Votes	293	0
Rick Allen	116	0
Greenpeace USA	223	0
Stand For Salmon	213	0
Brennan Bailey for State Representative	178	0
If I Were Running for Senate In Pennsylvania	176	0
Jeff Scott for Congress	172	0
The Atlas Society	159	0
FreedomWorks	76	0
Your Trump Shop	159	0
Breaking Patriot News	130	0
Your Energy	191	0
45th President Donald J. Trump	109	0
I Love My Freedom	127	0
Otha Thornton For Georgia State School Superintendent	105	0
Veterans and Affordable Housing Act	40	0
Conservative Gear	113	0
Giving Brush	101	0
PrintedKicks	80	0
Independent Women's Voice	79	0
Beto O'Rourke	75	0
The Humane Society of the United States	74	0
Bill Nelson	149	0
Rhonda Cole Schandevel	72	0
America Rise Up	69	0
Exclusive Apparel	333	0
Heifer International	61	0
Patriot Depot	86	0
Alliance San Diego Mobilization Fund	56	0
Democratic Coalition Against Trump	51	0
Anna Caballero for Senate	46	0
Support Our Firefighters PAC	41	0
Self-Reliant Republic	38	0
Human Rights Campaign	36	0
Trump on Earth	34	0
Representative Bobbie Richardson	33	0
Riveters Collective	30	0
Protect CA Health Care	22	0
Lea Black	22	0
Cape Cod & Islands Association of REALTORS	20	0
Alliance for a Better Minnesota	17	0
Jay Egolf for Henderson County School Board	16	0
Tom Palzewicz for Congress	15	0
WCS Newsroom	14	0
Hon John A. Torbett	5	0
LDS Dems	11	0
Dave Yost	11	0
Angela Birdsong	11	0
Democrats	10	0
Grow America's Infrastructure Now	8	0
Scott Walker	12	0
Janet Mills	12	0
Jordan Brandman for Anaheim	4	0
Enbridge Line 3	4	0
Danny Mackey for Howard County Board of Education	4	0
Allegra Collins for Court of Appeals	4	0
Stephanie Murphy for Congress	3	0
Defending Donald	3	0
Democratic Party	32773	0
Say Yes to the Penny	21978	2178
MoveOn	4069	0
Amy Ryberg Doyle, Councilmember, Greenville, SC	1998	198
AARP South Carolina	1998	198
Mercy For Animals	1576	0
PragerU	1249	0
Science for Humans and Freedom Institute	1063	0
Oconee County Democratic Party	999	99
Lowcountry Coalition Against Hate	999	99
Civiqs	999	0
Horry County Democratic Party	927	0
Ocean Conservancy	616	0
Coverage of the Trump Presidency by The Epoch Times	572	0
Ivory Ella	533	0
Kyrsten Sinema	367	0
BCDP	221	0
No Kid Hungry	216	0
Shield Republic	162	0
EMILY's List	153	0
Priorities USA Action	128	0
Power In Cooperation	114	0
LCV Victory Fund	109	0
Definition.org	109	0
Environmental Defense Fund	74	0
Shireen for Congress	65	0
Keepsakes Plus	59	0
Askov Finlayson	55	0
Military Officers Association of America (MOAA)	52	0
Urban Hollywood 411	50	0
America Fighting Back PAC	48	0
David Baria for Mississippi	42	0
Proud Right Winger	41	0
Kerry Donovan	41	0
Guardian Labs	38	0
Gavin Newsom	38	0
We Can Solve This	37	0
Jeff Johnson	36	0
Rick Green	33	0
Kentucky Family Values	33	0
Maple Heights African American Gazette	32	0
Chris Pappas for Congress	29	0
Sarasota citizen Martin Hyde	26	0
Winning For Women	25	0
Save the Children Action Network	25	0
Everytown for Gun Safety	25	0
War On Our Future	24	0
POW Action Fund	23	0
Jon Tester	23	0
Heard Mentality	23	0
Kevin Stitt for Governor	22	0
Tarbell	21	0
Phil Bredesen	19	0
Joe Kennedy III	18	0
Andy Biggs	18	0
ThoughtFull	16	0
Gayle Kemp for State House	16	0
Armed American Supply	15	0
Working Families Party	13	0
Planned Parenthood	13	0
Mallory Hagan for Congress	13	0
National Network of Abortion Funds	12	0
Restore the Mississippi River Delta	11	0
Nancy Soderberg for FL Congress District 6	11	0
Tammy Baldwin	10	0
Monmouth County Democrats	9	0
ClubResist	9	0
Civic Action Network	9	0
Politicon	8	0
Harry Hardman for Lone Star Ground Water Conservation District, Position 5	8	0
Sudan Relief Fund	7	0
Beyond Resistance	7	0
Zoë Bands	6	0
Buffy Wicks	6	0
Brady PAC	5	0
Da'Quan Love for NC House	3	0
Angie Craig	3	0
Klean Kanteen	2	0
