Maine Matters	3170000	8290832	45461	192539
The Committee for Ranked Choice Voting	2080909	6179583	17555	69238
Angus King	1956944	6321721	20661	125400
Independent Voter	1613713	3857164	11654	50260
Demand Justice	1416500	3335454	21489	89575
Marsy's Law for Maine	1312997	2787964	4366	16680
Jared Golden for Congress	1241928	3178241	9735	37748
Terry Hayes for Governor	1005996	3801682	9678	60985
Cote For Maine	754993	1851942	11240	39742
Demand More For Maine	729584	1762042	3972	17499
Yes on 1 - Mainers for Home Care	639000	2933325	6350	90085
Alan Caron	576984	1767742	7143	32507
Sweet For Governor	563995	2150817	5055	35064
Maine Conservation Voters	523996	2192645	11284	77048
Asbestos Nation	500000	1199997	6818	19380
Maine Women Together	498000	1198983	16800	38383
Maine Voter Info	483000	2133931	3900	22431
Maine Outdoor Alliance	482755	1144420	6396	25411
Mark Eves for ME	459893	1149462	10372	20685
Marty Grohman for Congress	444567	1350082	4244	18538
Beacon	406000	1720906	400	10906
Janet Mills	397407	1450785	2732	39187
Shawn Moody	373640	1120178	2197	8665
Planned Parenthood Action	370078	995366	5085	21419
Alliance For Maine	365000	896982	2524	7177
Maine Republican Party	339671	1383522	1281	17366
With Honor	300817	704528	4321	18142
Maine Deserves Better	250000	599998	6000	14998
Speak Up For Education and Kids	247505	922122	3531	22299
Protect Freedom PAC	215000	459996	2534	7302
NARAL Pro-Choice America	214250	591642	3403	20705
Chellie Pingree	206945	573731	2521	9658
Be A Hero	167869	740981	3877	23208
MO Research	165190	360564	1814	6511
Eric Brakey for U.S. Senate	162615	634058	1686	8628
Likewise	156305	312608	2718	8809
James Dill for Maine State Senate	151000	305996	1500	6196
Maine Voter Resource Guide	150000	301996	1031	2390
Our Next America	136751	273501	3510	11475
Zak Ringelstein	131973	533813	610	6200
Senator Justin Chenette	130994	590917	956	8921
Speaker Sara Gideon	127000	319994	700	2294
Run Aaron Run	125108	548452	1105	9791
The Nature Conservancy in Maine	121969	249932	587	2215
Stop The Scam Maine	121000	394989	1500	7989
Self-Reliant Republic	119994	299967	3761	9820
MoveOn	118776	263304	767	4669
Union of Concerned Scientists	111657	253734	972	3449
Mainers for Health Care	105000	524949	600	7449
ACLU	104722	212207	561	2499
Americans for Prosperity	104148	217676	1850	5910
Stand Up Susan	103577	384127	720	4954
Derek	103000	508906	388	10882
Better With Age	101994	361965	3026	16179
Tom Steyer	101556	439358	2015	14568
Civiqs	100739	463020	1394	9634
ExxonMobil	100656	203062	4136	10052
American Lung Association	100000	199999	1993	6337
Matt Stone	86000	230977	700	3977
AARP Maine	79028	263978	911	6693
The Leadership Conference on Civil and Human Rights	76076	300353	1547	8734
Mainers Against Health Care Cuts	74977	319872	1352	6299
Mark Dion For Governor	72999	319981	574	3890
Brad Farrin for Senate	72000	360990	600	3390
Planned Parenthood Maine Action Fund	71000	205995	1600	6695
Committee to Rebuild Maine's Middle Class	67614	263529	962	6882
National Shooting Sports Foundation | NSSF	65001	160000	978	3818
National Wildlife Federation Action Fund	60999	155992	1285	4476
State Senator Dave Miramant	60000	151996	1000	2196
Tax March	58013	217124	1125	6476
Our Flag Our Country	57049	272236	1455	8590
Maine Independents	56000	234992	654	2853
Crystal Canney for Senate District 27 - Portland	55999	213949	266	5756
The Daily Signal	55312	260763	386	2575
Protect Our Care	51000	225992	646	4757
Rubin G. Segal for Cumberland County Probate Judge	50000	252992	500	2792
The March for Life	50000	99999	395	1006
Rachel's Action Network	50000	99999	166	529
John Legend	50000	99999	240	468
Maine People's Alliance	45913	169554	299	2381
Keep Them Accountable	44998	213979	626	3471
Senator Rebecca Millett	42000	136985	488	3457
Independent Women's Voice	40687	84091	839	2151
Troy Jackson	40000	199996	400	1996
Re-Elect Ben Chipman for State Senate	39000	151989	400	2689
Noah Arthur Cobb	36000	110978	0	2178
RCV Maine	33000	106990	100	1390
NAACP Legal Defense Fund	32632	68535	302	909
Lucas St. Clair for Congress	31967	147826	197	1816
Mainers for Accountable Leadership	31955	186731	407	5982
Shenna Bellows for State Senate	31000	155995	700	2195
Living Free	30998	154987	613	4437
Stand Up for Students	30000	149997	300	1497
Ken Fredette	30000	149997	300	1497
Maine Senate Democratic Campaign Committee	29989	137932	239	1673
Military Network	29353	126698	709	3373
Natural Resources Council of Maine	28000	124994	100	994
Maine Coast Heritage Trust	26781	125559	63	2717
Craig Olson For Congress	25981	70951	99	1488
Joey Brunelle for Portland	24000	108976	0	2376
