Michelle Lujan Grisham	2153980	4963861	20212	82290
Tim Keller	1990000	4375967	8900	36767
New Mexico Immigrant Law Center	1715000	5449913	12300	54814
Martin Heinrich	1442000	4940382	20018	111430
Mick Rich	1119000	3123877	11190	54769
New Mexico Oil & Gas	974000	3761542	4960	61360
Paul Moya	951368	2404782	12795	59664
New Mexico Democrats for Democracy	703837	2352421	7057	47307
CVNM Verde Voters Fund	676997	2140911	0	0
City of Las Cruces Government	646000	1635981	4000	17481
Solar Energy Today	440302	1943663	7606	50127
Protect Freedom PAC	440000	1199994	5186	19051
Center for Western Priorities	370000	800124	2157	6424
Jeff Apodaca	351000	1181956	2760	15325
The Wilderness Society	308008	778639	3547	13742
Damon Martinez: Democrat for Congress	299000	1127946	4296	21569
Representative Stephanie Garcia Richard	285000	777987	2024	8517
George Muñoz for NM	267986	922896	1892	11801
Joe Cervantes for NM	232996	1060942	2741	12532
Sandoval County Government	210000	550997	1100	5597
Judge Michael E. Vigil	210000	549998	2000	9998
Antoinette Sedillo Lopez for Congress	207000	773964	8700	31164
Billy Garrett for New Mexico	203000	418991	1000	2691
A. Blair Dunn for New Mexico	201000	915957	1423	10245
Keep Them Accountable	181445	565446	2526	9174
MO Research	170901	403846	1877	7292
ProgressNow New Mexico	156995	727928	1308	9716
Damian Lara Talks Policy	154000	440988	700	2888
ExxonMobil	152343	428466	6260	21210
Damon Martinez for Congress	150000	406985	2300	9385
Deb Haaland for Congress	130584	353912	1768	8329
Susana Martinez	126000	314994	1272	3300
Democratic Party of New Mexico	123000	688755	0	21833
Fed of American Hospitals	116001	492979	3085	14784
Power the Future	114282	382553	919	4494
Gavin Clarkson for Secretary of State	113000	384989	900	3589
New Mexico Voices for Children	99000	363960	242	3786
Beto O'Rourke	90026	251803	1588	6874
Lyons for Land Commissioner	88000	360943	300	6843
NRCC IE	87903	262698	1656	6445
United We Dream	85000	260994	1076	3581
Republican Party of SJCNM	84897	263769	102	2771
Damon Martinez a Democrat for Congress	79000	359977	2314	10108
Daniel Gallegos for NM Court of Appeals Judge	79000	351985	600	3885
Our Western Values	72000	210994	1100	2794
Smart Cities Prevail	71000	204996	437	2906
Our Flag Our Country	66241	169418	1689	5345
Judge Emil Kiehne for New Mexico Court of Appeals	64972	372144	0	11969
UltraViolet	61000	156995	1137	4185
Save the Children Action Network	60017	151122	968	6541
Bill McCamley for State Auditor	54000	269686	253	7256
Wayne Johnson For State Auditor	52953	235754	490	3021
March For Our Lives	50000	99999	315	2104
Comcast	50000	99999	215	946
American Wind Energy Association (AWEA)	50000	99999	233	954
Lisafor43	48000	221975	1000	5375
Better Jobs New Mexico	46000	203985	0	1485
Consumers for Quality Care	46000	171986	500	3386
Heritage Action for America	45837	214224	279	2176
New Mexico Opinion Survey	42000	166986	100	1786
Keep Justice Gary Clingman	41000	146991	600	3291
Rep. David Adkins	40000	199996	400	2355
Las Cruces Green Chamber of Commerce	40000	139994	0	594
Responsible Leadership New Mexico	39193	255776	123	7868
W.K. Kellogg Foundation	38181	171032	227	1532
Janice for Congress 2018	38000	163964	200	4364
Better With Age	36971	171841	1096	7681
Military Network	36929	141673	892	3772
Melanie Stansbury for NM	36000	198572	600	4202
Partnership for Responsible Business	34000	169993	0	787
Shawn Redd for Tribal President Shiprock NM	31365	149735	216	1205
Day Hochman-Vigil for NM House District 15	31000	124995	200	1295
Billie Helean for NM House District 57	31000	111988	200	1988
Brenda Boatman For State Rep HD23	30000	149997	700	1997
Gary Johnson	30000	119996	400	1996
Voto Latino	26000	175946	117	5423
Representative Rebecca Dow	25989	104915	162	2296
Tim Lewis for House District 60	25000	110996	200	1196
ANewNormal.Life	25000	79996	0	396
Unite America	23186	118791	197	2042
People United for Privacy	22005	456657	243	13295
AARP New Mexico	22000	109996	200	1196
Joy 4 New Mexico	22000	80994	100	994
Progressive Champions PAC	21000	132969	200	3869
The Holy Tribune	21000	75995	781	3662
The LIBRE Initiative - New Mexico	20000	99998	200	998
State Representative Elizabeth Thomson	20000	99998	200	998
Harper Dental	20000	69997	100	697
Living Free	19988	99938	395	2861
Mark McDonald for NM State Representative	19000	102973	0	2673
Friends for Karen 38	18961	51912	86	1230
Artesia Chamber of Commerce	18536	64387	226	906
Steve Fischmann for PRC	17968	77840	46	709
Clayburn Griffin for Congress	17679	75609	0	510
NEA Today	17626	42099	379	1378
Paula Garcia for State Representative District 40	17000	72993	1000	5593
Benton Howell	16000	87985	0	1485
Texans for Natural Gas	15533	75149	147	1046
VoteTogether	15026	62590	91	2234
Family Farm Action	15000	59998	240	984
