Henry McMaster	8663459	0
Warren for Governor	5908589	0
Catherine Templeton for Governor	4837118	0
Alan Wilson	4199854	0
Lindsey Graham	2388958	50158
Office of South Carolina Treasurer Curtis Loftis	2891368	0
James Smith	1457923	0
Planned Parenthood Votes South Atlantic	1550927	0
South Carolina Industry Project	1210987	24287
Katie Arrington	1526712	0
Dominion Energy South	1397849	0
Ralph Norman for Congress	1338385	0
Freedom Action Network of South Carolina	1921713	0
The Palmetto PAC	852987	0
MO Research	658590	0
Nelson Faerber for Secretary of State	819900	0
Southern Environmental Law Center	1565219	0
South Carolina FYI	704997	5597
We Are Boeing SC	745973	0
CFG Action	874749	0
Guy Furay - GUY4Congress - Vote For Guy	573948	0
Palmetto Prosperity PAC	499999	4999
Citizens for Responsible Energy Solutions	539917	0
William Herlong for Attorney General	459854	0
South Carolina Republican Party	686890	0
Concealed Online	386279	0
Kerry Wood	284411	0
Auto Alliance	359508	0
NEA Today	372159	0
Tom Fernandez for State House	584983	2883
Lee Boan for Kershaw County Sheriff 2018	476131	0
Joe Cunningham	499269	0
Security is Strength PAC	379991	9091
Tom Rice for Congress	404981	0
SC Club for Growth	390425	0
John Holler for SC Senate	457982	3782
Todd Atwater for Attorney General	334253	0
South Carolina Department of Education	199999	999
Upstate Conservative Victory PAC	301969	0
Explore Offshore	384431	0
Meadors For Solicitor	390986	3786
Jay Brooks for Sheriff	385246	0
Something to Think About	220976	2776
Christian Stegmaier - SC Senate District 20	374989	0
Russell Guerard for State House Seat 110	215288	0
Women's Rights and Empowerment Network- WREN	357970	8870
Protect Freedom PAC	310924	0
Trafalgar Group	199997	0
Palmetto Futures	188300	0
Tom Steyer	213647	0
The Alliance for Solar Choice	304993	0
American Tort Reform Association	149998	0
Jason Elliott - SC State House Representative	229957	0
Walt Wilkins for Solicitor	290978	0
Donald J. Trump	368183	0
The Western Journal	274933	0
Solar Rebate	215621	0
Energy Consumers of the Carolinas	188982	0
Palmetto Conservative Solar Coalition	249995	0
Louthian Law Firm, P.A.	99999	499
John Kraljevich for SC26	223458	0
Serve America	86419	0
Dan Gregory for Register of Deeds	231921	7821
Todd Carnes for State House #87	181987	0
Mal Hyman for US Congress	201004	0
Home Professionals	210993	0
John J. McCann For Mayor of Hilton Head Island	193858	0
Curtis Loftis	145970	2970
Mary Geren for Congress	171691	0
Kelsey Willey, Esq.	162976	0
Re-elect Janice Dabney - School Board District 5	112975	0
JoJo Woodward for Sheriff	140974	0
Phil Noble	146908	0
Tidelands Health	150213	0
Solar Energy Today	88617	0
MedicareSupplement.com	342751	0
Joseph Dunkle	86985	1485
Betty Dowling	112977	0
Tim Ridge For Ward 2 Hilton Head Island Town Council	111987	1687
Pickens County Observer	94993	1893
Jody Gaulin for SC House District 2	120994	0
Charleston County Democrats	119995	495
Vote Allan Quinn	90993	0
Josh Kimbrell for Congress SC-4	89991	0
PragerU	64115	0
Bill Hills For County Council	118992	2392
Jack Scott	109997	1097
Eric Graben for Congress	110696	0
Jim Moore for District 55 School Board	105988	1188
House of Pizza Clinton	87991	891
Michael For Mayor of Hilton Head Island	126959	0
4ocean	49018	0
Greg Duckworth - SC House 104	121901	0
Brandon Brown for Congress	72668	0
Conservation Voters of South Carolina	86209	0
Energy Citizens	54309	0
VoteTogether	103756	0
Americans for Prosperity - South Carolina	99998	998
Behavioral Health Services Research Department	99722	0
A Penny for Progress	54393	0
Joan Clyborne for SC House	52990	0
The Boeing Company	41044	0
Elect Matt Davis for School Board	65673	0
Drug Injury News	43314	0
Re-elect Jim Beckert for Auditor	56989	0
Ocean Conservancy	48472	0
Palmetto Promise Institute	79993	1493
Matt O'Neill Real Estate	65996	1196
Paula Rawl Calhoon	50991	891
STOPP Coalition	31639	0
Joshua Putnam for Secretary of State	75993	0
Jan Hammond - Lexington 5 School Board	46991	0
Bill Malinowski - Richland County Council	46991	1291
Sue-Ham	34988	0
Tyler Servant	61859	0
Randy Ligon for State House	45652	0
Tablerock Solar	58895	0
Mark Lazarus Horry County Council Chairman	44662	0
International Rescue Committee	28282	0
CHRIS MURPHY FOR STATE HOUSE, DISTRICT 98	62978	2178
