Everytown for Florida	4841289	11833983	72729	319647
Florida Strong	2798654	6248279	31227	119604
Nuestra Florida	2761000	8058698	23100	111698
Faith and Freedom Coalition	1550000	3299994	10459	38759
Ron DeSantis	1370999	4350843	25321	107068
Boricua Vota	1361983	3217850	7230	27260
Florida Conservation Voters	1340000	2869990	77500	219488
AFP Action	1116000	2715982	29716	104199
Choose Me Not 3	1103000	2434974	16100	78274
It’s Our America	904927	3495098	11454	115118
Andrew Gillum	760963	2151791	10602	53576
NumbersUSA	711000	1454994	2086	10669
Marsy's Law for Florida	710000	1551995	6100	15695
Likewise Media	606000	1564989	17636	74182
Just Vote No On 13	533000	1404974	5500	14674
Vote NO on 5	506000	2169750	16600	80250
Southern Poverty Law Center	485000	1368979	2645	14257
Rick Scott	419978	1340883	6388	27537
Priorities USA Action	349000	1207934	4998	24337
FloridaStrong	323985	839951	5776	21524
Matt Caldwell	318000	777990	2100	11190
National Horizon Action	313693	766457	4248	18046
SEIU Florida	303186	855360	4461	16556
Everybody Is For Amendment 2	271998	894952	2235	10396
Don't Lose Your Control	263966	689906	2312	10056
Palm Beach Kennel Club	250000	599998	1100	5498
ACLU of Florida	241000	695985	6500	26745
Working People Rising	220000	619989	1487	5166
AFL-CIO	204998	638971	1958	11187
Planned Parenthood Action	186485	836488	3146	20055
You Should Know Florida	168000	704976	4600	14176
Keep Them Accountable	165984	618922	1476	7480
Vision America	140000	399994	4291	21308
LIBRE Action	140000	399994	3600	13494
Family Research Council	132705	281760	1327	6036
Color Of Change PAC	123977	530926	3160	11244
House Majority PAC	119968	450830	2567	8480
Keith Perry	118000	274994	1100	5971
Jobs for St. Lucie	115000	259997	1000	5197
The Leadership Conference on Civil and Human Rights	110000	249997	1780	4096
NRA Institute for Legislative Action	101000	204998	1233	4909
American Freedom and Opportunity PAC	100000	349992	509	2588
Civiqs	100000	199999	745	3009
No Casinos	100000	199998	600	1498
Janet Cruz	99879	349391	2413	7758
Debbie Mucarsel-Powell	99747	199494	4987	9973
Voters In Charge	88830	389070	2220	10093
American Conservative Union	73000	319984	1268	5708
Working For Us	71000	559689	1678	23596
AARP Advocates	70000	199997	958	2732
I'm for Grover	69995	301943	0	2632
Bill Nelson	68999	339953	1655	12744
Ethos Research	64999	159996	1555	6038
NextGen America	62042	306268	371	13044
Doyel for Florida	62000	144982	0	1782
Rock the Vote Action Fund	60000	149998	610	2526
Mel Martin for Florida Senate District 14	60000	149998	1000	1998
Rep. Scott Plakon	59999	149994	599	1497
Mia Jones For Tax Collector	55000	259994	500	2594
The Law Offices of Dan Newlin	55000	109998	1100	5498
Delores Johnson for FL State House Dist. 84	55000	109998	1100	5498
Fighting for Florida	54998	259984	982	3525
Duval County Democratic Party, Florida	53982	273895	699	4085
Gus Bilirakis for Congress	53000	207876	804	3731
Unitehere Florida PAC	53000	115995	100	895
The Voter Participation Center	52000	222970	0	3289
Floridians for a Fair Shake	51000	104998	1000	5098
Dan Newlin	50000	99999	1000	4999
Barbara Cady	50000	99999	100	499
Penny for Transportation	45000	119992	1200	4492
Dustin Daniels for Mayor	42999	154985	199	1690
South Florida For Change	41000	153984	1100	4884
AARP Florida	36987	170930	194	1546
Alliance for Retired Americans	31292	158459	466	3425
Hispanic Federation	31000	95993	100	1093
Political Icons	30000	150996	1100	2596
Kimberly Overman for County Commission District 7 - 2018	29931	150648	115	1025
Miami-Dade County Government	29140	145695	291	1454
Sierra Club	28193	128108	240	1744
Pay Up Climate Polluters	27000	119995	656	2183
Tracy Pratt for State Representative, District 71	26999	120990	499	2593
Allison Gilman For Judge	24791	109059	38	1224
Progress News Network	24190	56719	144	708
Vote Bobby O	23000	73282	0	2098
Joe Kaufman for Congress	22993	111943	0	2180
Jewish Democratic Council of America	22000	112170	258	2134
ReThink Energy Florida	22000	79995	200	1295
Holly Raschein	22000	50993	400	2293
The Nature Conservancy in Florida	21993	79983	64	681
Clay Yarborough	21000	105996	1000	2196
Bill Posey	21000	105996	572	1714
Hugh Hewitt	21000	89992	152	1864
iAmerica Action	20953	104767	489	3183
Phil Hornback for House District 58	20000	99998	1000	1998
Florida House Victory	20000	99998	1100	5498
American Opportunity PAC	20000	99998	171	997
Anna For Florida	20000	54992	100	1192
Derby Lane	19954	103765	648	4858
Collier County Democratic Party	19950	99750	95	749
With Honor	19886	99428	309	2407
